도시,전기차 합계
가평군,919
고양시,12029
과천시,1254
광명시,2518
광주시,3834
구리시,1462
군포시,2260
김포시,8139
남양주시,7766
동두천시,966
부천시,6325
성남시,12908
수원시,13216
시흥시,4055
안산시,6198
안성시,2159
안양시,4870
양주시,3135
양평군,2228
여주시,1731
연천군,828
오산시,1919
용인시,13950
의왕시,1919
의정부시,3695
이천시,2708
파주시,5487
평택시,5190
포천시,1514
하남시,4871
화성시,9780
