시군구,총 인구수,총출근발생량,주거공간 외 충전소 개수,전기차 수,앵커시설
가평군,-1.4119426833595048,-1.5005246080667212,-1.0223120582105587,-1.2766999746313636,-1.1776324000351048
고양시덕양구,1.0541329659888377,0.8368397963247048,0.1292248388187504,1.0953496843242692,0.7776817736080881
고양시일산동구,-0.08856859337375066,-0.2852931761354766,0.10050820797013921,-0.056011072414966334,1.2665103170188863
고양시일산서구,-0.1410857535336774,-0.3282425987714604,-0.071791577121528,-0.10890587970494905,0.04443895849189071
과천시,-1.2867332161183942,-1.428059525687319,-0.8241673053551415,-1.1046634654843324,-1.1776324000351048
광명시,-0.17434871904178914,0.11170623977786874,-0.16655645892194496,-0.4555466070907581,0.7776817736080881
광주시,0.47920706103797,0.19115025852650927,-0.6317658786694464,0.22027442585698223,-0.9332181283297057
구리시,-0.704411092009833,-0.6222130528701626,-0.8011940006762525,-0.9978467672676683,-0.44438958491890757
군포시,-0.285532254825309,0.07043948559454713,-0.4996693767658349,-0.5880403962248896,-0.44438958491890757
김포시,1.009761371243107,0.48124505823834196,0.48243939825666815,2.43107195385092,1.0220960453134873
남양주시,2.1464624403532433,1.7908300547979634,1.2836333989329207,2.2395208556066137,1.9997531321350837
동두천시,-1.267942357701516,-1.2930184861789962,-1.0452853628894476,-1.2525635091689442,-0.9332181283297057
부천시소사구,-0.4590259339071713,-0.12581206697045394,-0.9734937857679197,-0.7893487890178335,-0.19997531321350842
부천시오정구,-0.8888818357193937,-0.12581206697045394,-0.933290502579864,-1.104149923665983,-1.6664609434459032
부천시원미구,0.4749855531196576,-0.12581206697045394,-0.022973304678888962,-0.10479754515815427,1.5109245887242855
성남시분당구,0.9257773885105024,0.6331679517307509,1.6196179798616717,1.5005341790019038,0.533267501902689
성남시수정구,-0.41040423024097183,-0.25893596783189116,-0.10625153413986145,0.035399371251217386,-0.44438958491890757
성남시중원구,-0.5720342136282814,-0.13091524178590483,-0.18091477434625056,-0.15409755971969158,-1.422046671740504
수원시권선구,0.3192874175796243,0.44581247418187364,0.27855131923152865,0.22797755313222243,0.7776817736080881
수원시영통구,0.3024357071089627,0.3439144862452493,0.5886909323965296,0.34352446226082545,0.533267501902689
수원시장안구,-0.1984078820559109,-0.17269231345077152,-0.47956773517180706,-0.16231422881328111,0.2888532301972898
수원시팔달구,-0.6494800072678902,-0.5579268425598477,-0.6116642370754186,-0.6178258216891517,-0.19997531321350842
시흥시,1.1990714045175626,1.6739397667954063,0.9390338287495863,0.33376716771218784,1.0220960453134873
안산시단원구,-0.08257954352216115,0.727728401824619,0.2842946454012509,-0.24961633793267007,0.533267501902689
안산시상록구,0.12464043730274961,0.4234826362731846,-0.6777124880272244,-0.06525482514525457,-0.44438958491890757
안성시,-0.6748490961807837,-0.4777104514067065,0.00861498925458336,-0.6399081198781736,-0.19997531321350842
안양시동안구,0.04479215948198747,0.12065748425145688,0.3158829393347232,-0.29686218522081,0.7776817736080881
안양시만안구,-0.4582823078511,-0.3949148881171077,-0.9620071334284752,-0.6999925126250471,-1.1776324000351048
양주시,-0.17548131872719003,-0.4983576208627334,-0.11773818647930592,-0.13869130516921116,-0.6888038566243067
양평군,-1.0473371078673221,-1.4208599114882234,-0.8241673053551415,-0.6044737344120686,-1.422046671740504
여주시,-1.1137314742736253,-1.1543638472067594,-0.9620071334284752,-0.8597040181316941,-1.1776324000351048
연천군,-1.53382871415002,-1.6037604553468556,-1.1630235493687537,-1.3234322801011542,-1.6664609434459032
오산시,-0.42067771021561823,-0.12515003348088194,-0.4250061365594458,-0.7631581562820168,-0.19997531321350842
용인시기흥구,0.7326634219492207,0.41487620090874855,0.26419300380722305,0.8082798078669843,1.5109245887242855
용인시수지구,0.38340514421426314,-0.22217931679627886,0.03445995701833344,0.9418006806378144,0.2888532301972898
용인시처인구,-0.23617264530346957,-0.19938053849914295,-0.06604825095180576,0.1673796185669995,-0.44438958491890757
의왕시,-0.8779562528955771,-0.9193281660443318,-0.5657176277176407,-0.7631581562820168,-0.9332181283297057
의정부시,0.8719731832535292,0.6903510943925328,0.4623377566626403,0.14889211310642303,0.7776817736080881
이천시,-0.5006289516441441,-0.3253462022545829,-0.00861498925458336,-0.3579736616043822,-0.6888038566243067
파주시,1.1236505618306403,0.9955209483564947,0.9361621656647252,1.0691590515884524,1.5109245887242855
평택시,1.6263989777391425,1.3756798873788523,1.3008633774420875,0.9166371315386964,0.7776817736080881
포천시,-0.9540978408368455,-0.7719567527927303,-0.47956773517180706,-0.9711425927135022,-0.9332181283297057
하남시,0.11785627959120695,-0.3444900039947067,0.8241673053551415,0.7528172914852548,0.2888532301972898
화성시,3.677920261429037,4.085713976941852,4.769832383954321,3.273794077762198,1.9997531321350837
