행정구역,행정코드,총인구수
경기도 화성시 기배동,4159056000,"16,049"
경기도 화성시 화산동,4159057000,"27,204"
경기도 화성시 동탄1동,4159058500,"50,375"
경기도 화성시 동탄2동,4159058600,"34,409"
경기도 화성시 동탄3동,4159058700,"40,896"
경기도 화성시 동탄4동,4159058800,"53,440"
경기도 화성시 동탄5동,4159059000,"46,897"
경기도 화성시 동탄6동,4159060000,"43,340"
경기도 화성시 동탄7동,4159061000,"56,880"
경기도 화성시 동탄8동,4159062000,"33,657"
경기도 화성시 동탄9동,4159063000,"39,969"
경기도 파주시 문산읍,4148025000,"46,899"
경기도 파주시 파주읍,4148025300,"14,111"
경기도 파주시 법원읍,4148025600,"9,856"
경기도 파주시 조리읍,4148026200,"28,376"
경기도 파주시 월롱면,4148031000,"8,755"
경기도 파주시 탄현면,4148032000,"13,063"
경기도 파주시 광탄면,4148035000,"10,686"
경기도 파주시 파평면,4148036000,"3,658"
경기도 파주시 적성면,4148037000,"6,978"
경기도 파주시 장단면,4148039000,719
경기도 파주시 금촌1동,4148051000,"21,594"
경기도 파주시 금촌2동,4148052000,"31,506"
경기도 파주시 금촌3동,4148053000,"25,721"
경기도 파주시 교하동,4148054000,"7,415"
경기도 파주시 운정1동,4148055000,"47,598"
경기도 파주시 운정2동,4148056000,"64,860"
경기도 파주시 운정3동,4148057000,"69,456"
경기도 파주시 운정4동,4148058000,"23,220"
경기도 파주시 운정5동,4148059000,"42,855"
경기도 파주시 운정6동,4148060000,"20,427"
경기도 포천시 소흘읍,4165025000,"43,405"
경기도 포천시 군내면,4165031000,"8,616"
경기도 포천시 내촌면,4165032000,"4,325"
경기도 포천시 가산면,4165033000,"7,237"
경기도 포천시 신북면,4165034000,"11,721"
경기도 포천시 창수면,4165035000,"2,063"
경기도 포천시 영중면,4165036000,"4,630"
경기도 포천시 일동면,4165037000,"9,103"
경기도 포천시 이동면,4165038000,"5,714"
경기도 포천시 영북면,4165039000,"7,753"
경기도 포천시 관인면,4165040000,"2,564"
경기도 포천시 화현면,4165041000,"2,575"
경기도 포천시 포천동,4165051000,"19,242"
경기도 포천시 선단동,4165052000,"14,375"
경기도 군포시 군포1동,4141051000,"32,198"
경기도 군포시 군포2동,4141052000,"42,016"
경기도 군포시 산본1동,4141054000,"14,994"
경기도 군포시 산본2동,4141055000,"25,557"
경기도 군포시 금정동,4141056000,"19,498"
경기도 군포시 재궁동,4141057000,"17,551"
경기도 군포시 오금동,4141058000,"20,490"
경기도 군포시 수리동,4141059000,"15,470"
경기도 군포시 궁내동,4141060000,"19,898"
경기도 군포시 대야동,4141061000,"9,299"
경기도 군포시 광정동,4141062000,"23,784"
경기도 군포시 송부동,4141063000,"20,474"
경기도 용인시 처인구 포곡읍,4146125000,"32,880"
경기도 용인시 처인구 모현읍,4146125300,"26,287"
경기도 용인시 처인구 이동읍,4146125600,"20,066"
경기도 용인시 처인구 남사읍,4146125900,"23,881"
경기도 용인시 처인구 원삼면,4146134000,"7,914"
경기도 용인시 처인구 백암면,4146135000,"8,045"
경기도 용인시 처인구 양지면,4146136000,"19,846"
경기도 용인시 처인구 중앙동,4146151000,"24,848"
경기도 용인시 처인구 역북동,4146152500,"35,463"
경기도 용인시 처인구 삼가동,4146152600,"12,359"
경기도 용인시 처인구 유림동,4146153000,"37,133"
경기도 용인시 처인구 동부동,4146154000,"12,766"
경기도 용인시 기흥구 신갈동,4146351000,"37,241"
경기도 용인시 기흥구 영덕1동,4146351600,"31,353"
경기도 용인시 기흥구 영덕2동,4146351700,"19,199"
경기도 용인시 기흥구 구갈동,4146352000,"41,015"
