행정구역,행정코드,총인구수
경기도 의정부시 송산2동,4115057600,"32,012"
경기도 의정부시 송산3동,4115057800,"45,456"
경기도 의정부시 자금동,4115058000,"25,802"
경기도 의정부시 가능동,4115059500,"24,260"
경기도 의정부시 흥선동,4115061500,"19,368"
경기도 의정부시 녹양동,4115062000,"20,152"
경기도 평택시 팽성읍,4122025000,"28,340"
경기도 평택시 안중읍,4122025300,"42,738"
경기도 평택시 포승읍,4122025600,"23,639"
경기도 평택시 청북읍,4122025900,"26,635"
경기도 평택시 진위면,4122031000,"11,132"
경기도 평택시 서탄면,4122032000,"3,566"
경기도 평택시 고덕면,4122033000,"12,764"
경기도 평택시 오성면,4122034000,"6,458"
경기도 평택시 현덕면,4122037000,"5,806"
경기도 평택시 중앙동,4122051000,"43,275"
경기도 평택시 서정동,4122052000,"23,875"
경기도 평택시 송탄동,4122053500,"21,903"
경기도 평택시 지산동,4122055000,"12,697"
경기도 평택시 송북동,4122056000,"21,375"
경기도 평택시 신장1동,4122057000,"7,058"
경기도 평택시 신장2동,4122058000,"5,108"
경기도 평택시 신평동,4122059000,"20,563"
경기도 평택시 원평동,4122060000,"13,296"
경기도 평택시 통복동,4122061000,"3,818"
경기도 평택시 비전1동,4122062000,"51,603"
경기도 평택시 비전2동,4122063000,"57,657"
경기도 평택시 용이동,4122063500,"25,882"
경기도 평택시 세교동,4122064000,"37,632"
경기도 평택시 동삭동,4122065000,"41,544"
경기도 평택시 고덕동,4122066000,"42,658"
