행정구역,총 인구수
양주시,34801
양주시,53968
양주시,5318
양주시,11861
양주시,8842
양주시,42377
양주시,24863
양평군,9904
양평군,4851
양평군,3935
양평군,9988
양평군,4527
양평군,13866
양평군,37019
양평군,8033
양평군,18386
양평군,6770
양평군,3768
여주시,14325
여주시,4302
여주시,2878
여주시,6617
여주시,4635
여주시,2514
여주시,5835
여주시,20787
여주시,17898
여주시,4642
여주시,25093
여주시,4996
연천군,1697
연천군,2471
연천군,2431
연천군,7847
연천군,967
연천군,720
연천군,17680
연천군,165
연천군,4139
오산시,25416
오산시,44769
오산시,23310
오산시,31491
오산시,35317
오산시,23084
오산시,33954
오산시,18340
용인시 기흥구,21220
용인시 기흥구,31738
용인시 기흥구,26680
용인시 기흥구,26832
용인시 기흥구,31819
용인시 기흥구,32695
용인시 기흥구,34997
용인시 기흥구,12811
용인시 기흥구,23407
용인시 기흥구,25131
용인시 기흥구,36972
용인시 기흥구,34043
용인시 기흥구,19194
용인시 수지구,50578
용인시 수지구,20028
용인시 수지구,33024
용인시 수지구,27714
용인시 수지구,54626
용인시 수지구,41242
용인시 수지구,28213
용인시 수지구,17895
용인시 수지구,26524
용인시 수지구,35019
용인시 수지구,41387
용인시 처인구,23711
용인시 처인구,12487
용인시 처인구,25989
용인시 처인구,8123
용인시 처인구,12153
용인시 처인구,20401
용인시 처인구,35276
용인시 처인구,7888
용인시 처인구,43319
용인시 처인구,19761
용인시 처인구,26676
용인시 처인구,32152
의왕시,13610
의왕시,19909
의왕시,21486
의왕시,29283
의왕시,34402
의왕시,37050
의정부시,24008
의정부시,19737
의정부시,57280
의정부시,31677
의정부시,45222
의정부시,39077
의정부시,44931
의정부시,39329
의정부시,29722
의정부시,25576
의정부시,18858
의정부시,34264
의정부시,32807
의정부시,19173
이천시,9540
이천시,14198
이천시,15672
이천시,4120
이천시,11374
이천시,37098
이천시,4429
이천시,14097
이천시,2520
이천시,14336
이천시,15519
이천시,57215
이천시,15924
이천시,5662
파주시,10497
파주시,7355
파주시,21307
파주시,30903
파주시,25153
파주시,46397
파주시,9724
파주시,51273
파주시,64122
파주시,68691
파주시,23284
파주시,48348
파주시,24099
파주시,8571
파주시,705
파주시,6824
파주시,27994
파주시,12820
파주시,13981
파주시,3611
평택시,44839
평택시,12742
평택시,41767
평택시,51528
평택시,57307
평택시,25129
평택시,3477
평택시,37678
평택시,21017
평택시,23245
평택시,6926
평택시,5110
평택시,20289
평택시,43378
평택시,6345
평택시,25895
평택시,13226
평택시,43178
평택시,12553
평택시,10899
평택시,26254
평택시,3733
평택시,28044
평택시,23234
평택시,5756
포천시,7103
포천시,2542
포천시,4232
포천시,14196
포천시,42755
포천시,11499
포천시,7576
포천시,4583
포천시,5634
포천시,8968
포천시,2066
포천시,19228
포천시,2475
하남시,2849
하남시,39631
하남시,14242
하남시,17641
하남시,27111
하남시,53809
하남시,46708
하남시,29629
하남시,6920
하남시,45351
하남시,35151
하남시,6184
하남시,3110
하남시,1491
화성시,16031
화성시,59262
화성시,50113
화성시,34444
화성시,40550
화성시,53299
화성시,46665
화성시,43660
화성시,56826
화성시,33705
화성시,41097
화성시,6731
화성시,6634
화성시,37168
화성시,36533
화성시,22776
화성시,98926
화성시,7684
화성시,26681
화성시,7194
화성시,10709
화성시,3912
화성시,17334
화성시,9792
화성시,10808
화성시,50188
화성시,9680
화성시,86044
화성시,27748
부천시 소사구,18604
부천시 소사구,28154
부천시 소사구,28420
부천시 소사구,25163
부천시 소사구,20473
부천시 소사구,24427
부천시 소사구,16137
부천시 소사구,14713
부천시 소사구,21459
