행정구역,총출근발생량
수원시,521829
용인시,387673
고양시,404348
화성시,425616
성남시,405799
부천시,360792
남양주시,259228
안산시,342239
평택시,229128
안양시,238887
시흥시,250753
파주시,201565
김포시,164278
의정부시,179439
광주시,143245
하남시,104409
광명시,137485
군포시,134493
양주시,93253
오산시,120312
이천시,105797
안성시,94750
구리시,84273
의왕시,62731
포천시,73416
양평군,26368
여주시,45690
동두천시,35637
과천시,25846
가평군,20592
연천군,13107
